date,open,high,low,close,volume,vwap,transactions,value,cumulative return,percent change
2023-06-09,138.88,139.72,138.86,139.4,172330,139.36,172330,10681.38,0.06813799999999992,-0.0006455669200284841
2023-06-12,139.37,139.76,139.06,139.46,189678,139.46,189678,10689.05,0.06890499999999992,0.0007180720094219772
2023-06-13,139.46,140.31,139.01,140.15,209884,139.68,209884,10705.91,0.07059099999999999,0.001577315102838872
2023-06-14,140.15,140.2,139.28,139.97,223194,139.85,223194,10718.94,0.07189400000000006,0.0012170847690669007
2023-06-15,139.96,141.51,139.93,140.26,244071,140.81,244071,10792.52,0.07925200000000004,0.0068644847344980775
2023-06-16,140.26,141.91,139.85,141.84,237175,141.06,237175,10811.68,0.08116800000000003,0.0017753036362220254
2023-06-20,141.91,142.25,141.21,141.34,238718,141.65,238718,10856.9,0.08568999999999996,0.004182513725896397
2023-06-21,141.34,142.4,141.33,141.69,231486,141.87,231486,10873.76,0.08737600000000002,0.0015529294734224486
2023-06-22,141.68,143.23,141.61,143.03,214526,142.28,214526,10905.19,0.09051900000000006,0.0028904445196509254
2023-06-23,143.03,143.9,142.68,143.69,223470,143.27,223470,10981.07,0.09810699999999997,0.006958154786849136
2023-06-26,143.54,143.71,142.94,143.46,214812,143.37,214812,10988.73,0.09887299999999996,0.0006975640807316275
2023-06-27,143.46,144.2,143.28,143.88,205367,143.7,205367,11014.03,0.10140300000000006,0.0023023588713164678
2023-06-28,143.87,144.62,143.73,144.39,230287,144.16,230287,11049.28,0.10492800000000006,0.0032004634089428663
2023-06-29,144.39,144.9,144.13,144.79,224162,144.55,224162,11079.18,0.10791800000000003,0.0027060586753162585
2023-06-30,144.79,145.07,144.2,144.29,216170,144.59,216170,11082.24,0.10822399999999997,0.0002761937255284508
2023-07-03,144.39,144.93,143.98,144.6,203875,144.6,203875,11083.01,0.10830100000000002,6.948053823063738e-05
2023-07-05,144.4,144.76,144.07,144.5,152664,144.52,152664,11076.88,0.10768799999999992,-0.0005530988422821626
2023-07-06,144.5,144.65,143.57,143.97,193258,144.12,193258,11046.22,0.10462199999999994,-0.002767927430828876
2023-07-07,143.98,144.2,142.0,142.09,215305,143.03,215305,10962.67,0.096267,-0.007563673365187262
2023-07-10,142.21,143.01,141.2,141.3,211267,142.15,211267,10895.22,0.08952199999999993,-0.006152698202171569
2023-07-11,141.31,141.46,140.07,140.12,218797,140.63,218797,10778.72,0.07787199999999994,-0.01069276251420348
2023-07-12,140.12,140.16,138.15,138.32,232969,139.14,232969,10664.52,0.06645200000000004,-0.010594950049727547
2023-07-13,138.32,138.96,137.89,138.06,229884,138.36,229884,10604.74,0.06047399999999998,-0.005605503107500409
2023-07-14,138.06,139.16,137.24,138.69,234564,138.32,234564,10601.67,0.060167000000000005,-0.0002894931888947072
2023-07-17,138.68,139.4,138.0,138.72,207774,138.67,207774,10628.5,0.06285,0.002530733365592397
2023-07-18,138.71,139.19,137.67,139.02,234466,138.55,234466,10619.3,0.06192999999999993,-0.0008655972150350966
2023-07-19,139.0,139.99,138.85,139.61,241561,139.54,241561,10695.18,0.06951800000000002,0.007145480398896398
2023-07-20,139.6,140.5,139.11,139.85,231169,139.72,231169,10708.98,0.07089799999999996,0.001290300864501548
2023-07-21,139.83,141.95,139.75,141.78,218002,141.15,218002,10818.58,0.08185799999999999,0.010234401408911076
2023-07-24,141.75,141.81,140.74,141.54,226902,141.34,226902,10833.14,0.08331399999999994,0.0013458328172457623
2023-07-25,141.54,141.74,140.82,140.9,209102,141.28,209102,10828.54,0.0828540000000001,-0.00042462296250200815
2023-07-26,140.91,141.19,139.92,140.37,244281,140.54,244281,10771.82,0.07718199999999997,-0.005238009925622622
2023-07-27,140.37,141.32,138.71,138.87,294093,140.07,294093,10735.8,0.07357999999999992,-0.0033439103141345017
2023-07-28,138.87,141.18,138.04,141.14,309212,139.76,309212,10712.04,0.07120400000000009,-0.0022131559827863745
2023-07-31,140.74,142.68,140.69,142.32,260352,142.0,260352,10883.73,0.08837299999999995,0.016027759418373977
2023-08-01,142.32,143.54,142.25,142.96,246341,142.93,246341,10955.01,0.09550100000000002,0.0065492253115431165
2023-08-02,142.96,143.48,142.23,143.36,259182,143.03,259182,10962.67,0.096267,0.0006992234603162562
2023-08-03,143.36,143.89,142.06,142.61,281390,142.95,281390,10956.54,0.09565400000000009,-0.0005591703480993804
2023-08-04,142.6,142.91,141.55,141.75,256496,142.3,256496,10906.72,0.09067199999999993,-0.0045470559136371325
2023-08-07,141.87,142.58,141.51,142.54,221136,142.21,221136,10899.82,0.08998199999999996,-0.0006326374932151824
2023-08-08,142.54,143.49,142.53,143.26,260960,143.16,260960,10972.64,0.09726399999999995,0.006680844270822828
2023-08-09,143.26,143.77,143.0,143.72,216484,143.4,216484,10991.03,0.09910300000000007,0.0016759868181221993
2023-08-10,143.72,144.87,143.27,144.85,247129,144.13,247129,11046.98,0.10469799999999996,0.005090514719730432
2023-08-11,144.85,145.05,144.42,144.9,223230,144.75,223230,11094.5,0.10945,0.0043016281372827425
2023-08-14,144.85,145.58,144.66,145.44,225659,145.13,225659,11123.63,0.11236299999999992,0.002625625309838231
2023-08-15,145.43,145.87,145.1,145.62,236283,145.52,236283,11153.52,0.11535200000000004,0.002687072475441976
2023-08-16,145.62,146.41,145.3,146.33,235467,145.76,235467,11171.92,0.117192,0.0016497034120170895
2023-08-17,146.33,146.56,145.57,145.71,241322,146.11,241322,11198.74,0.11987399999999998,0.0024006616588732044
2023-08-18,145.71,145.79,144.93,145.41,227673,145.38,227673,11142.79,0.11427900000000009,-0.004996097775285313
2023-08-21,145.32,146.4,145.14,146.24,134305,145.79,134305,11174.22,0.11742199999999993,0.002820658021913669
2023-08-22,146.25,146.4,145.49,145.78,133357,145.88,133357,11181.11,0.11811100000000006,0.0006165978475456413
2023-08-23,145.78,145.81,144.54,144.68,144830,145.23,144830,11131.29,0.11312900000000009,-0.00445572935066374
2023-08-24,144.69,146.08,144.61,146.05,143499,145.46,143499,11148.92,0.11489200000000001,0.0015838236179273046
2023-08-25,146.05,146.63,145.72,146.43,144017,146.15,144017,11201.81,0.12018099999999995,0.0047439572622280934
2023-08-28,146.54,146.74,146.27,146.46,188023,146.5,188023,11228.63,0.12286299999999992,0.002394255928283018
2023-08-29,146.46,147.37,145.66,145.98,225657,146.39,225657,11220.2,0.12202000000000007,-0.0007507594426032771
2023-08-30,145.98,146.58,145.56,146.09,214095,146.12,214095,11199.51,0.11995100000000002,-0.0018439956507014799
2023-08-31,146.09,146.22,145.35,145.48,222886,145.81,222886,11175.75,0.117575,-0.002121521387989267
2023-09-01,145.49,146.3,144.44,146.2,196486,145.57,196486,11157.35,0.11573500000000003,-0.0016464219403619085
2023-09-05,146.54,147.8,146.48,147.46,197693,147.22,197693,11283.82,0.12838199999999997,0.01133512886124377
2023-09-06,147.46,147.82,147.13,147.71,180092,147.51,180092,11306.05,0.13060499999999992,0.001970077509212187
2023-09-07,147.71,147.87,147.04,147.34,164131,147.37,164131,11295.32,0.12953199999999998,-0.0009490494027533103
2023-09-08,147.34,147.89,146.58,147.78,182889,147.42,182889,11299.15,0.12991499999999997,0.00033907848560277287
2023-09-11,147.12,147.14,145.9,146.67,222802,146.48,222802,11227.1,0.12271000000000004,-0.006376585849377947
2023-09-12,146.67,147.25,146.44,147.16,185486,146.92,185486,11260.83,0.126083,0.003004337718556016
2023-09-13,147.16,147.73,147.09,147.33,226578,147.37,226578,11295.32,0.12953199999999998,0.003062829294110614
2023-09-14,147.33,147.56,147.01,147.46,207026,147.26,207026,11286.89,0.12868899999999994,-0.0007463267972930288
2023-09-15,147.46,147.97,147.34,147.77,190926,147.69,190926,11319.84,0.13198400000000002,0.0029193161269402967
2023-09-18,147.86,147.87,147.53,147.61,171278,147.67,171278,11318.31,0.13183099999999995,-0.00013516092100251953
2023-09-19,147.62,147.97,147.5,147.76,174857,147.75,174857,11324.44,0.13244400000000006,0.0005416002919165219
2023-09-20,147.76,148.36,147.46,148.32,210975,147.91,210975,11336.71,0.1336709999999999,0.0010834972855169323
2023-09-21,148.31,148.46,147.32,147.65,204488,147.94,204488,11339.01,0.13390100000000002,0.00020288072994723017
2023-09-22,147.65,148.45,147.5,148.28,211762,148.16,211762,11355.87,0.13558700000000007,0.0014869022957031408
2023-09-25,148.43,148.96,148.28,148.82,175881,148.62,175881,11391.12,0.13911200000000007,0.0031041214807847606
2023-09-26,148.82,149.19,148.7,149.05,193800,148.92,193800,11414.12,0.1414120000000001,0.002019116645246566
2023-09-27,149.06,149.72,148.86,149.49,192544,149.27,192544,11440.94,0.14409400000000006,0.00234972122248589
2023-09-28,149.49,149.56,149.14,149.34,208956,149.33,208956,11445.54,0.1445540000000001,0.0004020648652995895
2023-09-29,149.34,149.51,148.52,149.37,206852,149.23,206852,11437.88,0.14378799999999992,-0.0006692563216765812
2023-10-02,149.53,149.88,149.45,149.86,172621,149.76,172621,11478.5,0.14785,0.003551357419381951
2023-10-03,149.86,150.18,147.27,149.18,225062,149.51,225062,11459.34,0.145934,-0.001669207649083071
2023-10-04,149.18,149.32,148.72,148.98,231579,149.04,231579,11423.32,0.14233199999999996,-0.003143287484270507
2023-10-05,148.98,149.12,148.26,148.47,226548,148.67,226548,11394.96,0.13949599999999993,-0.0024826407734354072
2023-10-06,148.47,149.54,148.46,149.22,203783,149.06,203783,11424.85,0.14248500000000003,0.002623089506238019
2023-10-09,149.15,149.22,148.28,148.33,195646,148.92,195646,11414.12,0.1414120000000001,-0.0009391808207547259
2023-10-10,148.33,149.1,148.16,148.62,208067,148.78,208067,11403.39,0.14033899999999994,-0.0009400637105621001
2023-10-11,148.62,149.36,148.42,149.03,204421,148.9,204421,11412.59,0.14125900000000002,0.0008067776336686538
2023-10-12,149.03,149.87,148.95,149.78,202691,149.39,202691,11450.14,0.14501399999999995,0.003290225969740268
2023-10-13,149.79,149.83,149.45,149.56,192888,149.64,192888,11469.3,0.14692999999999992,0.0016733419853380838
2023-10-16,149.56,149.76,149.37,149.58,172583,149.53,172583,11460.87,0.14608700000000008,-0.000735005623708429
2023-10-17,149.58,149.88,148.75,149.76,178115,149.65,178115,11470.07,0.14700699999999997,0.0008027313807763559
2023-10-18,149.75,149.98,149.47,149.77,168399,149.75,168399,11477.73,0.14777299999999996,0.0006678250437879285
2023-10-19,149.77,149.97,149.66,149.8,174369,149.81,174369,11482.33,0.148233,0.0004007761116526787
2023-10-20,149.8,150.04,149.63,149.85,150554,149.89,150554,11488.46,0.14884599999999992,0.0005338637715515127
2023-10-23,149.88,149.99,149.55,149.78,141183,149.85,141183,11485.4,0.14853999999999995,-0.00026635423720844376
2023-10-24,149.78,149.93,149.32,149.86,155805,149.72,155805,11475.43,0.14754300000000004,-0.0008680585787173012
2023-10-25,149.85,150.32,149.79,150.1,140768,149.94,140768,11492.3,0.14922999999999992,0.0014700974168286862
2023-10-26,150.09,150.78,149.85,150.36,176186,150.36,176186,11524.49,0.15244899999999997,0.0028010058909009317
2023-10-27,150.37,150.41,149.46,149.67,148632,149.92,148632,11490.76,0.14907600000000001,-0.002926810644115263
2023-10-30,149.73,149.85,148.8,149.1,144245,149.41,144245,11451.67,0.14516700000000002,-0.003401863758358936
2023-10-31,149.1,151.71,149.09,151.32,198566,150.65,198566,11546.72,0.15467199999999992,0.008300099461475918
2023-11-01,151.32,151.44,150.55,150.57,172574,151.12,172574,11582.74,0.15827399999999997,0.0031195006027686656
2023-11-02,150.57,150.59,149.84,150.49,167115,150.36,167115,11524.49,0.15244899999999997,-0.005029034580764091
2023-11-03,150.49,150.5,149.18,149.36,149249,149.82,149249,11483.1,0.14831000000000003,-0.0035914821393396856
2023-11-06,149.45,150.1,149.37,149.98,146698,149.7,146698,11473.9,0.14738999999999997,-0.0008011773824142532
2023-11-07,149.99,150.69,149.96,150.4,151578,150.39,151578,11526.79,0.1526790000000001,0.004609592204917412
2023-11-08,150.4,151.07,150.34,150.85,151899,150.76,151899,11555.15,0.15551499999999996,0.002460355398163694
2023-11-09,150.85,151.39,150.75,151.34,158212,151.06,158212,11578.14,0.15781399999999995,0.0019895890576928643
2023-11-10,151.35,151.61,151.22,151.52,142823,151.43,142823,11606.5,0.16065,0.002449443520289085
2023-11-13,151.46,151.94,151.19,151.65,129523,151.69,129523,11626.43,0.16264300000000004,0.0017171412570542444
2023-11-14,151.62,151.8,150.15,150.49,150097,151.13,150097,11583.51,0.15835100000000002,-0.0036915889056228224
2023-11-15,150.49,151.42,150.03,151.21,160395,150.77,160395,11555.91,0.15559099999999998,-0.0023826974725278394
2023-11-16,151.21,151.46,150.28,150.71,154165,150.95,154165,11569.71,0.15697099999999992,0.0011941941396220734
2023-11-17,150.71,150.78,148.4,149.53,167966,149.9,167966,11489.23,0.14892299999999994,-0.006956094837294979
2023-11-20,149.95,149.99,148.1,148.38,187918,148.67,187918,11394.96,0.13949599999999993,-0.008205075535958506
2023-11-21,148.38,148.6,147.15,148.15,201593,147.78,201593,11326.74,0.132674,-0.0059868573474588516
2023-11-22,148.15,149.75,148.04,149.46,184384,149.01,184384,11421.02,0.14210200000000003,0.008323665944481862
2023-11-24,149.63,149.71,149.19,149.46,143178,149.51,143178,11459.34,0.145934,0.0033552169596060555
2023-11-27,149.57,149.67,148.36,148.42,181333,148.95,181333,11416.42,0.14164200000000002,-0.003745416402689883
2023-11-28,148.42,148.84,147.01,147.07,202759,148.09,202759,11350.5,0.13505,-0.005774139353667773
2023-11-29,147.06,147.92,146.66,147.05,225121,147.31,225121,11290.72,0.12907199999999994,-0.005266728337958715
2023-11-30,147.06,148.52,146.86,148.0,215858,147.6,215858,11312.95,0.13129500000000008,0.0019688735527938483
2023-12-01,147.99,148.35,146.66,146.81,214885,147.68,214885,11319.08,0.131908,0.0005418568985100514
2023-12-04,146.36,147.49,146.22,147.31,216735,146.84,216735,11254.69,0.12546900000000005,-0.005688624870572423
2023-12-05,147.3,147.39,146.56,147.18,211907,147.07,211907,11272.32,0.12723199999999998,0.0015664580721459487
2023-12-06,147.19,147.5,146.89,147.18,193584,147.22,193584,11283.82,0.12838199999999997,0.0010201981490944867
2023-12-07,147.18,147.19,141.62,144.23,265547,145.11,265547,11122.1,0.11221000000000003,-0.014332025856491848
2023-12-08,144.24,145.22,142.5,144.86,252156,144.18,252156,11050.82,0.10508199999999997,-0.0064088616358422
2023-12-11,144.98,146.59,144.87,146.05,208716,146.02,208716,11191.84,0.11918400000000001,0.012761043976827091
2023-12-12,146.05,146.13,144.72,145.29,208051,145.51,208051,11152.76,0.11527600000000002,-0.003491829761683496
2023-12-13,145.3,145.99,142.07,142.79,237548,144.92,237548,11107.53,0.11075300000000006,-0.004055498369910149
2023-12-14,142.78,142.91,140.96,142.28,292509,141.81,292509,10869.17,0.08691700000000001,-0.02145931633765563
2023-12-15,142.27,142.47,141.42,142.12,240346,141.93,240346,10878.36,0.08783600000000005,0.0008455107427707276
2023-12-18,142.3,143.16,142.07,142.69,200766,142.62,200766,10931.25,0.093125,0.004861946102169723
2023-12-19,142.68,144.95,142.24,143.92,227448,143.84,227448,11024.76,0.10247600000000003,0.00855437392795877
2023-12-20,143.92,144.1,143.26,143.53,219664,143.63,219664,11008.66,0.10086599999999998,-0.001460349250233195
2023-12-21,143.53,143.56,142.01,142.07,218210,142.69,218210,10936.61,0.09366100000000006,-0.0065448474201219575
2023-12-22,142.07,142.66,141.86,142.39,197953,142.28,197953,10905.19,0.09051900000000006,-0.002872919487848624
2023-12-26,142.24,142.63,142.09,142.49,128239,142.37,128239,10912.09,0.09120900000000001,0.0006327262523624366
2023-12-27,142.49,142.85,141.38,141.44,180240,142.38,180240,10912.85,0.09128500000000003,6.964751940286007e-05
2023-12-28,141.44,141.66,140.25,141.44,200565,141.09,200565,10813.98,0.08139799999999996,-0.009059961421626905
2023-12-29,141.44,141.91,140.79,141.03,181393,141.36,181393,10834.67,0.08346700000000001,0.0019132641266212946
2024-01-02,141.12,142.21,141.1,142.18,208343,141.71,208343,10861.5,0.08615,0.0024763098460773847
2024-01-03,142.17,143.73,141.86,143.0,215640,142.83,215640,10947.34,0.09473400000000001,0.007903144132946682
2024-01-04,142.99,144.85,142.84,144.77,209903,144.02,209903,11038.55,0.10385499999999993,0.008331704322693811
2024-01-05,144.77,145.98,143.8,144.62,218694,144.87,218694,11103.7,0.11037000000000008,0.005902043293729786
2024-01-08,144.72,144.79,143.66,144.22,210325,144.29,210325,11059.25,0.105925,-0.004003170114466381
